x,c1,d1,c2,d2,c3,d3,c4,d4,c5,d5,c6,d6,c7,d7,c8,d8
1000,0.2856854796,4.227352142,0.2715446949,4.49243021,0.2730831206,4.204957485,0.3051919341,3.762970924,0.2897309661,3.993155241,0.2721238434,4.052976131,0.3140453696,4.465889454,0.2153155059,4.406146526
2000,0.3385295868,3.540035009,0.3220213056,3.837348461,0.3169263601,3.502753258,0.342798084,3.416029692,0.3323111832,3.487702847,0.3375429511,3.662637234,0.353823334,3.60656476,0.2690426409,3.536574125
3000,,,0.3559187055,3.381871462,0.3490647078,3.342415333,0.3761706352,3.288077116,0.371634841,3.17770505,,,,,,
4000,,,0.3699808121,3.304439783,0.3875222206,3.226046562,0.398825407,3.151474237,0.3960147202,3.048648119,,,,,,
5000,,,0.4109510779,3.032324314,0.3934030533,3.191895247,0.3988890648,3.068286896,0.4044581652,3.014084339,,,,,,
6000,,,0.4115541577,2.964081287,0.4180593193,2.942196846,0.433165133,3.028458595,0.4287733436,2.999484301,,,,,,
7000,,,0.4151532054,2.974366427,0.4370292723,2.921514273,0.4573364854,2.865650415,0.4401271045,2.890193224,,,,,,
8000,,,0.4608890414,2.843566895,0.4454848766,2.908564329,0.4439474344,2.940135956,0.4457116425,2.874598742,,,,,,
9000,,,0.4587559104,2.771279335,0.4673171043,2.822089672,0.478408426,2.85149169,0.466018647,2.803458691,,,,,,
10000,,,0.4665641487,2.838762045,0.4665099978,2.894196034,0.478649497,2.78661561,0.4680885673,2.749255657,,,,,,
11000,,,0.4830027819,2.840702057,0.4746386111,2.797035217,0.4820410013,2.823810339,0.4926521182,2.680945635,,,,,,
12000,,,0.4765749872,2.737385035,0.4631810486,2.750328541,0.4817319512,2.760728359,0.495683372,2.678249598,,,,,,
13000,,,0.491692245,2.737797022,0.4891115129,2.730982781,0.5037627816,2.677559137,0.5001732111,2.764030218,,,,,,
14000,,,0.4958131909,2.707241774,0.4959357679,2.743559837,0.5128486156,2.704238653,0.4939668477,2.867044449,,,,,,
15000,,,0.4866552651,2.674198151,0.4951246977,2.693620443,0.5097832084,2.685694933,0.4936005473,2.73724699,,,,,,
16000,,,0.5080082417,2.6982131,0.511582613,2.673852205,0.5092633367,2.696102381,0.4836493134,2.650983095,,,,,,
17000,,,0.4901034236,2.694022417,0.5007580519,2.660771132,0.5125795603,2.718689203,0.5253308415,2.647319317,,,,,,
18000,,,0.5141971111,2.659146786,0.5000163317,2.706528664,0.5160300732,2.626582623,0.5195779204,2.62809062,,,,,,
19000,,,0.5043504238,2.701010943,0.5179834366,2.629665136,0.5254737139,2.590459585,0.4740209281,2.671795368,,,,,,
20000,,,0.5141971111,2.68,0.511582613,2.632547855,0.5136359334,2.644683838,0.52,2.63,,,,,,